Year,Month,Decimal_date,Semihemispheric_modelled_mole_fractions_box0,Semihemispheric_modelled_mole_fractions_box1,Semihemispheric_modelled_mole_fractions_box2,Semihemispheric_modelled_mole_fractions_box3,Semihemispheric_modelled_mole_fractions_box4,Semihemispheric_modelled_mole_fractions_box5,Semihemispheric_modelled_mole_fractions_box6,Semihemispheric_modelled_mole_fractions_box7,Semihemispheric_modelled_mole_fractions_box8,Semihemispheric_modelled_mole_fractions_box9,Semihemispheric_modelled_mole_fractions_box10,Semihemispheric_modelled_mole_fractions_box11,Semihemispheric_modelled_mole_fractions_1-sigma_box0,Semihemispheric_modelled_mole_fractions_1-sigma_box1,Semihemispheric_modelled_mole_fractions_1-sigma_box2,Semihemispheric_modelled_mole_fractions_1-sigma_box3
1985,1,1985.0,1844974.2223227706,1799470.0985988067,1714545.5630556368,1701270.542480569,1820650.890170775,1788145.848064698,1713464.2822919723,1700808.0180106256,1694029.0626343319,1683517.7485321953,1675064.3488430374,1674504.0859306767,8946.676536920118,8685.75619539742,8289.0261178384,8210.208779773948
1985,2,1985.08,1831989.7024772256,1783722.526525376,1710979.139031114,1694890.2269575314,1809990.3244288461,1775220.9309581432,1707369.572726528,1691572.5832630203,1693733.184736743,1682081.0756709045,1671989.301990001,1669940.7849676216,8914.215400063757,8610.070262052848,8310.879802671014,8187.095468927391
1985,3,1985.17,1817654.119325208,1765640.493840514,1705514.3314532246,1691335.495797043,1797014.478713213,1762533.8952173365,1702602.846795848,1686861.8401927354,1692176.9907960254,1679760.0524269205,1668939.2069867891,1666500.9454186286,8912.820124454256,8559.56117980387,8330.320788408453,8183.392269623774
1985,4,1985.25,1811817.7683656195,1760680.6923613006,1701062.381170705,1695556.8079699685,1789282.8983397298,1758443.5693753017,1696999.962206957,1690709.9591362083,1688917.686606759,1676694.002100944,1666100.4145035793,1664449.4392637298,8825.883662322107,8517.235459934816,8267.299535927254,8210.378104147581
1985,5,1985.33,1810607.46697213,1764523.0015651854,1702379.2910591506,1704880.54262689,1788921.6618212517,1760785.314077662,1697342.717549963,1697850.2256403994,1684521.470007909,1673395.5995597064,1663731.4158117059,1663559.9896179973,8793.727560560179,8539.989681170626,8237.266428176488,8260.985100722814
1985,6,1985.42,1803208.5930789956,1764453.2377488874,1708120.1439783962,1713687.0959385897,1785416.3733893582,1760655.8813135943,1702364.844364814,1705144.1838245864,1679648.999901865,1670106.9240467635,1662001.6333126302,1663287.7660876624,8791.563415913231,8562.320932312346,8266.115101643165,8309.582591432581
1985,7,1985.5,1798463.4237679876,1760365.0509695422,1709443.7575124083,1717673.4254131725,1782783.6123060829,1755418.1293080228,1719159.4521919638,1715558.3184554633,1674821.480298067,1666897.584366061,1660754.7966205408,1663239.523968958,8737.448373645435,8539.629507794325,8277.126685385827,8319.947283737023
1985,8,1985.58,1800125.1248857712,1755248.6417440749,1711635.2129104356,1720954.9930544887,1782683.3785282127,1748477.2529028917,1726628.606966081,1723432.8315286003,1670819.2941117522,1663833.874706899,1659664.7330056783,1663055.371176511,8754.030227457877,8569.972296625114,8301.63353348249,8330.37699315046
1985,9,1985.67,1808010.6736751597,1753824.4988189093,1710989.2064299297,1723207.3544042557,1786150.8759250513,1745374.5674720514,1727209.880656054,1726168.1612670703,1668064.6427309683,1661121.9995410978,1658175.8526269866,1662174.8548258601,8855.810256319002,8635.492922094496,8313.179491066274,8344.627379709369
1985,10,1985.75,1819361.251597016,1763902.0174359984,1714690.7689121459,1721208.3183598008,1791325.74248407,1756161.3902857928,1720323.7285404124,1722803.4716734353,1666746.8034574375,1659117.8079104424,1656160.130606132,1660218.0399157184,8857.252219161577,8614.205719618898,8304.375359010726,8328.62396841871
